year,iso3_code,country,region,total_members,n_dois,dois_per_member
2021,DNK,Denmark,Europe & Central Asia,18,72265,4014.722222222222
2021,ESP,Spain,Europe & Central Asia,369,459809,1246.0948509485095
2021,EST,Estonia,Europe & Central Asia,16,20199,1262.4375
2021,FIN,Finland,Europe & Central Asia,101,41909,414.94059405940595
2021,FRA,France,Europe & Central Asia,86,2380046,27674.95348837209
2021,FRO,Faeroe Islands,Europe & Central Asia,1,96,96
2021,GBR,United Kingdom,Europe & Central Asia,500,20646851,41293.702
2021,GEO,Georgia,Europe & Central Asia,17,2700,158.8235294117647
2021,GRC,Greece,Europe & Central Asia,32,152553,4767.28125
2021,HRV,Croatia,Europe & Central Asia,173,126014,728.4046242774566
2021,HUN,Hungary,Europe & Central Asia,232,123367,531.7543103448276
2021,IRL,Ireland,Europe & Central Asia,17,7824,460.2352941176471
2021,ISL,Iceland,Europe & Central Asia,8,2567,320.875
2021,ITA,Italy,Europe & Central Asia,109,202944,1861.8715596330276
2021,KAZ,Kazakhstan,Europe & Central Asia,81,27566,340.320987654321
2021,KGZ,Kyrgyz Republic,Europe & Central Asia,15,2295,153
2021,LTU,Lithuania,Europe & Central Asia,34,68799,2023.5
2021,LUX,Luxembourg,Europe & Central Asia,1,58,58
2021,LVA,Latvia,Europe & Central Asia,13,21241,1633.923076923077
2021,MDA,Moldova,Europe & Central Asia,31,3253,104.93548387096774
2021,MKD,"Macedonia, FYR",Europe & Central Asia,31,28202,909.741935483871
2021,MNE,NA,Europe & Central Asia,8,3460,432.5
2021,NLD,Netherlands,Europe & Central Asia,106,36209690,341600.8490566038
2021,NOR,Norway,Europe & Central Asia,24,79382,3307.5833333333335
2021,POL,Poland,Europe & Central Asia,269,440392,1637.1449814126395
2021,PRT,Portugal,Europe & Central Asia,120,111202,926.6833333333333
2021,ROU,NA,Europe & Central Asia,186,87649,471.23118279569894
2021,RUS,Russian Federation,Europe & Central Asia,1219,1058239,868.1205906480722
2021,SRB,NA,Europe & Central Asia,56,118966,2124.3928571428573
2021,SVK,Slovak Republic,Europe & Central Asia,33,57838,1752.6666666666667
2021,SVN,Slovenia,Europe & Central Asia,40,32567,814.175
2021,SWE,Sweden,Europe & Central Asia,64,45501,710.953125
2021,TJK,Tajikistan,Europe & Central Asia,2,416,208
2021,TUR,Turkey,Europe & Central Asia,1431,425559,297.3857442348008
2021,UKR,Ukraine,Europe & Central Asia,517,423762,819.6557059961315
2021,UZB,Uzbekistan,Europe & Central Asia,27,6766,250.59259259259258
2021,XKX,NA,Europe & Central Asia,2,1310,655
2021,ARG,Argentina,Latin America & the Caribbean,70,58987,842.6714285714286
2021,BHS,"Bahamas, The",Latin America & the Caribbean,1,272,272
2021,BOL,Bolivia,Latin America & the Caribbean,12,1568,130.66666666666666
2021,BRA,Brazil,Latin America & the Caribbean,1371,1732444,1263.6353026987601
2021,BRB,Barbados,Latin America & the Caribbean,1,201,201
2021,CHL,Chile,Latin America & the Caribbean,63,118411,1879.5396825396826
2021,COL,Colombia,Latin America & the Caribbean,204,165253,810.0637254901961
2021,CRI,Costa Rica,Latin America & the Caribbean,16,26594,1662.125
2021,CUB,Cuba,Latin America & the Caribbean,1,93,93
2021,DOM,Dominican Republic,Latin America & the Caribbean,7,3003,429
2021,ECU,Ecuador,Latin America & the Caribbean,94,34803,370.24468085106383
2021,GTM,Guatemala,Latin America & the Caribbean,15,1428,95.2
2021,GUY,Guyana,Latin America & the Caribbean,1,29,29
2021,HTI,Haiti,Latin America & the Caribbean,1,15,15
2021,JAM,Jamaica,Latin America & the Caribbean,3,1869,623
2021,MEX,Mexico,Latin America & the Caribbean,177,145419,821.5762711864406
2021,NIC,Nicaragua,Latin America & the Caribbean,1,7932,7932
2021,PAN,Panama,Latin America & the Caribbean,10,2307,230.7
2021,PER,Peru,Latin America & the Caribbean,141,66700,473.0496453900709
2021,PRI,Puerto Rico,Latin America & the Caribbean,8,4292,536.5
2021,PRY,Paraguay,Latin America & the Caribbean,18,5421,301.1666666666667
2021,SLV,El Salvador,Latin America & the Caribbean,1,3384,3384
2021,TTO,Trinidad and Tobago,Latin America & the Caribbean,3,219,73
2021,URY,Uruguay,Latin America & the Caribbean,53,5736,108.22641509433963
2021,VEN,Venezuela,Latin America & the Caribbean,18,5629,312.72222222222223
2021,VGB,British Virgin Islands,Latin America & the Caribbean,2,299159,149579.5
2021,AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",4,14773,3693.25
2021,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",33,258077,7820.515151515152
2021,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",3,2737,912.3333333333334
2021,DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",115,33795,293.8695652173913
2021,EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",27,198985,7369.814814814815
2021,IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",142,71176,501.23943661971833
2021,ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",14,2057,146.92857142857142
2021,JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",34,23187,681.9705882352941
2021,KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",9,4112,456.8888888888889
2021,LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",7,2309,329.85714285714283
2021,LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",13,2558,196.76923076923077
2021,MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",17,3419,201.11764705882354
2021,MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",1,9,9
2021,OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",5,4131,826.2
2021,PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",230,89475,389.0217391304348
2021,PSE,NA,"Middle East, North Africa, Afghanistan & Pakistan",14,5221,372.92857142857144
2021,QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",8,9271,1158.875
2021,SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",24,14246,593.5833333333334
2021,SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",2,240,120
2021,TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",9,619,68.77777777777777
2021,YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",13,1983,152.53846153846155
2021,CAN,Canada,North America,214,888058,4149.803738317757
2021,USA,United States,North America,1624,46604046,28697.07266009852
2021,BGD,Bangladesh,South Asia,42,48634,1157.952380952381
2021,BTN,Bhutan,South Asia,3,192,64
2021,IND,India,South Asia,827,1342431,1623.2539298669892
2021,LKA,Sri Lanka,South Asia,11,19220,1747.2727272727273
2021,NPL,Nepal,South Asia,17,31514,1853.764705882353
2021,AGO,Angola,Sub-Saharan Africa,4,167,41.75
2021,BDI,Burundi,Sub-Saharan Africa,1,197,197
2021,BEN,Benin,Sub-Saharan Africa,1,3,3
2021,BFA,Burkina Faso,Sub-Saharan Africa,1,59,59
2021,BWA,Botswana,Sub-Saharan Africa,1,24,24
2021,CAF,Central African Republic,Sub-Saharan Africa,1,5,5
2021,CMR,Cameroon,Sub-Saharan Africa,2,84,42
2021,ETH,Ethiopia (excludes Eritrea),Sub-Saharan Africa,4,351,87.75
2021,GHA,Ghana,Sub-Saharan Africa,14,2546,181.85714285714286
2021,KEN,Kenya,Sub-Saharan Africa,29,14095,486.0344827586207
2021,MDG,Madagascar,Sub-Saharan Africa,1,20,20
2021,MLI,Mali,Sub-Saharan Africa,2,258,129
2021,MRT,Mauritania,Sub-Saharan Africa,1,213,213
2021,MUS,Mauritius,Sub-Saharan Africa,3,2639,879.6666666666666
2021,MWI,Malawi,Sub-Saharan Africa,1,21,21
2021,NAM,Namibia,Sub-Saharan Africa,1,22,22
2021,NGA,Nigeria,Sub-Saharan Africa,91,47911,526.4945054945055
2021,RWA,Rwanda,Sub-Saharan Africa,3,77,25.666666666666668
2021,SDN,Sudan,Sub-Saharan Africa,7,911,130.14285714285714
2021,SEN,Senegal,Sub-Saharan Africa,2,385,192.5
2021,TZA,Tanzania,Sub-Saharan Africa,3,557,185.66666666666666
2021,UGA,Uganda,Sub-Saharan Africa,4,163,40.75
2021,ZAF,South Africa,Sub-Saharan Africa,50,173087,3461.74
2021,ZMB,Zambia,Sub-Saharan Africa,3,190,63.333333333333336
2021,ZWE,Zimbabwe,Sub-Saharan Africa,1,27,27
2020,AUS,Australia,East Asia & Pacific,137,378222,2760.7445255474454
2020,BRN,Brunei,East Asia & Pacific,2,67,33.5
2020,CHN,China,East Asia & Pacific,93,302692,3254.7526881720432
2020,FJI,Fiji,East Asia & Pacific,1,26,26
2020,HKG,"Hong Kong, China",East Asia & Pacific,41,72237,1761.878048780488
2020,IDN,Indonesia,East Asia & Pacific,1702,627795,368.8572267920094
2020,JPN,Japan,East Asia & Pacific,657,2548339,3878.750380517504
2020,KHM,Cambodia,East Asia & Pacific,2,212,106
2020,KOR,"Korea, Rep.",East Asia & Pacific,2234,878203,393.1078782452999
2020,LAO,Lao PDR,East Asia & Pacific,1,678,678
2020,MAC,Macao,East Asia & Pacific,1,9,9
2020,MMR,Myanmar,East Asia & Pacific,1,53,53
2020,MNG,Mongolia,East Asia & Pacific,3,1630,543.3333333333334
2020,MYS,Malaysia,East Asia & Pacific,86,48651,565.7093023255813
2020,NZL,New Zealand,East Asia & Pacific,42,74495,1773.6904761904761
2020,PHL,Philippines,East Asia & Pacific,38,7910,208.1578947368421
2020,SGP,Singapore,East Asia & Pacific,41,485295,11836.463414634147
2020,THA,Thailand,East Asia & Pacific,31,10490,338.38709677419354
2020,TWN,Taiwan,East Asia & Pacific,20,16311,815.55
